A15	21	N	NS	5250	Καβσεηλ	καβσεηλ	καβσεηλ	Καβσεηλ	Kabsehl	kabsehl	kabsehl	Kabsehl	Kabsehl				*KABSEHL	*KABSEHL
15	29	N	NS	5250	Αυιμ	αυιμ	αυιμ	Αυιμ	Auim	auim	auim	Auim	Auim				*AUIM	*AUIM
15	29	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	29	N	NS	5250	Ασεμ	ασεμ	ασεμ	Ασεμ	Asem	asem	asem	Asem	Asem				*ASEM	*ASEM
15	30	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	30	N	NS	5250	Ελθωδαδ	ελθωδαδ	ελθωδαδ	Ελθωδαδ	Elqwdad	elqwdad	elqwdad	Elqwdad	Elqwdad				*ELQWDAD	*ELQWDAD
15	30	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	30	N	NS	5250	Χασιλ	χασιλ	χασιλ	Χασιλ	Xasil	xasil	xasil	Xasil	Xasil				*XASIL	*XASIL
15	30	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	30	N	NS	5250	Ερμα	ερμα	ερμα	Ερμα	Erma	erma	erma	Erma	Erma				*ERMA	*ERMA
15	31	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	31	N	NS	5250	Σικελεγ	σικελεγ	σικελεγ	Σικελεγ	Sikeleg	sikeleg	sikeleg	Sikeleg	Sikeleg				*SIKELEG	*SIKELEG
15	31	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	31	N	NS	5250	Μεδεβηνα	μεδεβηνα	μεδεβηνα	Μεδεβηνα	Medebhna	medebhna	medebhna	Medebhna	Medebhna				*MEDEBHNA	*MEDEBHNA
15	31	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	31	N	NS	5250	Σανσαννα	σανσαννα	σανσαννα	Σανσαννα	Sansanna	sansanna	sansanna	Sansanna	Sansanna				*SANSANNA	*SANSANNA
15	32	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	32	N	NS	5250	Λαβωθ	λαβωθ	λαβωθ	Λαβωθ	Labwq	labwq	labwq	Labwq	Labwq				*LABWQ	*LABWQ
15	32	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	32	N	NS	5250	Σελειμ	σελειμ	σελειμ	Σελεϊμ	Seleim	seleim	seleim	Selei:m	Selei:m				*SELEI+M	*SELEI+M
15	32	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	32	N	NS	5250	Ρεμμων	ρεμμων	ρεμμων	Ρεμμων	Remmwn	remmwn	remmwn	Remmwn	Remmwn			,	*REMMWN	*REMMWN
15	32	N3I	NPF	13954	πόλεις	πολεις	πολεις	πόλις	po/leij	poleij	poleij	po/lij	po/lij				PO/LEIS	PO/LIS
15	32	M		7	εἴκοσι	εἰκοσι	εικοσι	εἴκοσι	ei/)kosi	ei)kosi	eikosi	ei/)kosi	ei)/kosi				EI)/KOSI	EI)/KOSI
15	32	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	32	M		7	ἐννέα	ἐννεα	εννεα	ἐννέα	e)nne/a	e)nnea	ennea	e)nne/a	e)nne/a				E)NNE/A	E)NNE/A
15	32	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
15	32	RA	NPF	10	αἱ	αἱ	αι	ὁ	ai(	ai(	ai	o(	o(				AI(	O(
15	32	N1	NPF	13954	κῶμαι	κωμαι	κωμαι	κώμη	kw~mai	kwmai	kwmai	kw/mh	kw/mh				KW=MAI	KW/MH
