1	3	V-	-AMPNSM-	572353	ποιησάμενος	ποιησαμενος	ποιησαμενος	ποιέω	poihsa/menoj	poihsamenoj	poihsamenoj	poie/w			
1	3	V-	3AAI-S--	633473	ἐκάθισεν	ἐκαθισεν	εκαθισεν	καθίζω	e)ka/qisen	e)kaqisen	ekaqisen	kaqi/zw			
1	3	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	3	A-	----DSF-	13699	δεξιᾷ	δεξια	δεξια	δεξιός	decia~|	decia	decia	decio/j			
1	3	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	3	N-	----GSF-	13634	μεγαλωσύνης	μεγαλωσυνης	μεγαλωσυνης	μεγαλωσύνη	megalwsu/nhj	megalwsunhj	megalwsunhj	megalwsu/nh			
1	3	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	3	A-	----DPM-	10115	ὑψηλοῖς	ὑψηλοις	υψηλοις	ὑψηλός	u(yhloi~j	u(yhloij	uyhloij	u(yhlo/j			,
1	4	RD	----DSN-	11	τοσούτῳ	τοσουτω	τοσουτω	τοσοῦτος	tosou/tw|	tosoutw	tosoutw	tosou~toj			
1	4	A-	----NSMC	42115	κρείττων	κρειττων	κρειττων	κρείττων	krei/ttwn	kreittwn	kreittwn	krei/ttwn			
1	4	V-	-AMPNSM-	572353	γενόμενος	γενομενος	γενομενος	γίνομαι	geno/menoj	genomenoj	genomenoj	gi/nomai			
1	4	RA	----GPM-	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(			
1	4	N-	----GPM-	10050	ἀγγέλων	ἀγγελων	αγγελων	ἄγγελος	a)gge/lwn	a)ggelwn	aggelwn	a/)ggeloj			
1	4	RR	----DSN-	14	ὅσῳ	ὁσω	οσω	ὅσος	o/(sw|	o(sw	osw	o/(soj			
1	4	A-	----ASNC	50435	διαφορώτερον	διαφορωτερον	διαφορωτερον	διάφορος	diaforw/teron	diaforwteron	diaforwteron	dia/foroj			
1	4	P-	--------	7	παρ	παρ	παρ	παρά	par	par	par	para/			
1	4	RP	----APM-	13	αὐτοὺς	αὐτους	αυτους	ἑαυτοῦ	au)tou\j	au)touj	autouj	e(autou~			
1	4	V-	3XAI-S--	633985	κεκληρονόμηκεν	κεκληρονομηκεν	κεκληρονομηκεν	κληρονομέω	keklhrono/mhken	keklhronomhken	keklhronomhken	klhronome/w			
1	4	N-	----ASN-	17666	ὄνομα	ὀνομα	ονομα	ὄνομα	o/)noma	o)noma	onoma	o/)noma			.
1	5	RI	----DSM-	12	Τίνι	τινι	τινι	τίς	Ti/ni	tini	tini	ti/j			
1	5	C-	--------	4	γὰρ	γαρ	γαρ	γάρ	ga\r	gar	gar	ga/r			
1	5	V-	3AAI-S--	633473	εἶπέν	εἰπεν	ειπεν	λέγω	ei~)pe/n	ei)pen	eipen	le/gw			
1	5	X-	--------	5	ποτε	ποτε	ποτε	ποτέ	pote	pote	pote	pote/			
1	5	RA	----GPM-	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(			
1	5	N-	----GPM-	10050	ἀγγέλων	ἀγγελων	αγγελων	ἄγγελος	a)gge/lwn	a)ggelwn	aggelwn	a/)ggeloj			·
1	5	N-	----NSM-	9346	Υἱός	υἱος	υιος	υἱός	Ui(o/j	ui(oj	uioj	ui(o/j			
1	5	RP	----GS--	13	μου	μου	μου	ἐγώ	mou	mou	mou	e)gw/			
1	5	V-	2PAI-S--	631937	εἶ	εἰ	ει	εἰμί	ei~)	ei)	ei	ei)mi/			
1	5	RP	----NS--	13	σύ	συ	συ	σύ	su/	su	su	su/			,
1	5	RP	----NS--	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/			
1	5	D-	--------	8	σήμερον	σημερον	σημερον	σήμερον	sh/meron	shmeron	shmeron	sh/meron			
1	5	V-	1XAI-S--	601217	γεγέννηκά	γεγεννηκα	γεγεννηκα	γεννάω	gege/nnhka/	gegennhka	gegennhka	genna/w			
1	5	RP	----AS--	13	σε	σε	σε	σύ	se	se	se	su/			,
1	5	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	5	D-	--------	8	πάλιν	παλιν	παλιν	πάλιν	pa/lin	palin	palin	pa/lin			·
1	5	RP	----NS--	13	Ἐγὼ	ἐγω	εγω	ἐγώ	E)gw\	e)gw	egw	e)gw/			
1	5	V-	1FMI-S--	604289	ἔσομαι	ἐσομαι	εσομαι	εἰμί	e/)somai	e)somai	esomai	ei)mi/			
1	5	RP	----DSM-	13	αὐτῷ	αὐτω	αυτω	αὐτός	au)tw~|	au)tw	autw	au)to/j			
1	5	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	5	N-	----ASM-	9474	πατέρα	πατερα	πατερα	πατήρ	pate/ra	patera	patera	path/r			,
1	5	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	5	RP	----NSM-	13	αὐτὸς	αὐτος	αυτος	αὐτός	au)to\j	au)toj	autoj	au)to/j			
1	5	V-	3FMI-S--	637057	ἔσται	ἐσται	εσται	εἰμί	e/)stai	e)stai	estai	ei)mi/			
1	5	RP	----DS--	13	μοι	μοι	μοι	ἐγώ	moi	moi	moi	e)gw/			
1	5	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	5	N-	----ASM-	9474	υἱόν	υἱον	υιον	υἱός	ui(o/n	ui(on	uion	ui(o/j			;
1	6	C-	--------	4	ὅταν	ὁταν	οταν	ὅταν	o/(tan	o(tan	otan	o/(tan			
1	6	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	6	D-	--------	8	πάλιν	παλιν	παλιν	πάλιν	pa/lin	palin	palin	pa/lin			
1	6	V-	3AAS-S--	633601	εἰσαγάγῃ	εἰσαγαγη	εισαγαγη	εἰσάγω	ei)saga/gh|	ei)sagagh	eisagagh	ei)sa/gw			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	6	A-	----ASM-	9475	πρωτότοκον	πρωτοτοκον	πρωτοτοκον	πρωτότοκος	prwto/tokon	prwtotokon	prwtotokon	prwto/tokoj			
1	6	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	6	RA	----ASF-	10	τὴν	την	την	ὁ	th\n	thn	thn	o(			
1	6	N-	----ASF-	13570	οἰκουμένην	οἰκουμενην	οικουμενην	οἰκουμένη	oi)koume/nhn	oi)koumenhn	oikoumenhn	oi)koume/nh			,
1	6	V-	3PAI-S--	631937	λέγει	λεγει	λεγει	λέγω	le/gei	legei	legei	le/gw			·
1	6	C-	--------	4	Καὶ	και	και	καί	Kai\	kai	kai	kai/			
1	6	V-	3AAD-P--	895681	προσκυνησάτωσαν	προσκυνησατωσαν	προσκυνησατωσαν	προσκυνέω	proskunhsa/twsan	proskunhsatwsan	proskunhsatwsan	proskune/w			
1	6	RP	----DSM-	13	αὐτῷ	αὐτω	αυτω	αὐτός	au)tw~|	au)tw	autw	au)to/j			
1	6	A-	----NPM-	9859	πάντες	παντες	παντες	πᾶς	pa/ntej	pantej	pantej	pa~j			
1	6	N-	----NPM-	9858	ἄγγελοι	ἀγγελοι	αγγελοι	ἄγγελος	a/)ggeloi	a)ggeloi	aggeloi	a/)ggeloj			
1	6	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός	qeou~	qeou	qeou	qeo/j			.
1	7	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	7	P-	--------	7	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j			
1	7	C-	--------	4	μὲν	μεν	μεν	μέν	me\n	men	men	me/n			
1	7	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
1	7	N-	----APM-	9986	ἀγγέλους	ἀγγελους	αγγελους	ἄγγελος	a)gge/louj	a)ggelouj	aggelouj	a/)ggeloj			
1	7	V-	3PAI-S--	631937	λέγει	λεγει	λεγει	λέγω	le/gei	legei	legei	le/gw			·
1	7	RA	----NSM-	10	Ὁ	ὁ	ο	ὁ	O(	o(	o	o(			
1	7	V-	-PAPNSM-	566721	ποιῶν	ποιων	ποιων	ποιέω	poiw~n	poiwn	poiwn	poie/w			
1	7	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
1	7	N-	----APM-	9986	ἀγγέλους	ἀγγελους	αγγελους	ἄγγελος	a)gge/louj	a)ggelouj	aggelouj	a/)ggeloj			
1	7	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j			
1	7	N-	----APN-	18178	πνεύματα	πνευματα	πνευματα	πνεῦμα	pneu/mata	pneumata	pneumata	pneu~ma			,
1	7	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	7	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
1	7	N-	----APM-	9986	λειτουργοὺς	λειτουργους	λειτουργους	λειτουργός	leitourgou\j	leitourgouj	leitourgouj	leitourgo/j			
1	7	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j			
1	7	N-	----GSN-	17730	πυρὸς	πυρος	πυρος	πῦρ	puro\j	puroj	puroj	pu~r			
1	7	N-	----ASF-	13570	φλόγα	φλογα	φλογα	φλόξ	flo/ga	floga	floga	flo/c			·
1	8	P-	--------	7	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j			
1	8	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	8	N-	----ASM-	9474	υἱόν	υἱον	υιον	υἱός	ui(o/n	ui(on	uion	ui(o/j			·
1	8	RA	----NSM-	10	Ὁ	ὁ	ο	ὁ	O(	o(	o	o(			
1	8	N-	----NSM-	9346	θρόνος	θρονος	θρονος	θρόνος	qro/noj	qronoj	qronoj	qro/noj			
1	8	RP	----GS--	13	σου	σου	σου	σύ	sou	sou	sou	su/			
1	8	RA	----VSM-	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(			
1	8	N-	----NSM-	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j			
1	8	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	8	N-	----ASM-	9474	αἰῶνα	αἰωνα	αιωνα	αἰών	ai)w~na	ai)wna	aiwna	ai)w/n			
1	8	RA	----GSM-	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(			
1	8	N-	----GSM-	9538	αἰῶνος	αἰωνος	αιωνος	αἰών	ai)w~noj	ai)wnoj	aiwnoj	ai)w/n			,
1	8	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	8	RA	----NSF-	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(			
1	8	N-	----NSF-	13442	ῥάβδος	ῥαβδος	ραβδος	ῥάβδος	r(a/bdoj	r(abdoj	rabdoj	r(a/bdoj			
1	8	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	8	N-	----GSF-	13634	εὐθύτητος	εὐθυτητος	ευθυτητος	εὐθύτης	eu)qu/thtoj	eu)quthtoj	euquthtoj	eu)qu/thj			
1	8	N-	----NSF-	13442	ῥάβδος	ῥαβδος	ραβδος	ῥάβδος	r(a/bdoj	r(abdoj	rabdoj	r(a/bdoj			
1	8	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	8	N-	----GSF-	13634	βασιλείας	βασιλειας	βασιλειας	βασιλεία	basilei/aj	basileiaj	basileiaj	basilei/a			
1	8	RP	----GS--	13	σου	σου	σου	σύ	sou	sou	sou	su/			.
1	9	V-	2AAI-S--	633473	ἠγάπησας	ἠγαπησας	ηγαπησας	ἀγαπάω	h)ga/phsaj	h)gaphsaj	hgaphsaj	a)gapa/w			
1	9	N-	----ASF-	13570	δικαιοσύνην	δικαιοσυνην	δικαιοσυνην	δικαιοσύνη	dikaiosu/nhn	dikaiosunhn	dikaiosunhn	dikaiosu/nh			
1	9	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	9	V-	2AAI-S--	633473	ἐμίσησας	ἐμισησας	εμισησας	μισέω	e)mi/shsaj	e)mishsaj	emishsaj	mise/w			
1	9	N-	----ASF-	13570	ἀνομίαν	ἀνομιαν	ανομιαν	ἀνομία	a)nomi/an	a)nomian	anomian	a)nomi/a			·
1	9	P-	--------	7	διὰ	δια	δια	διά	dia\	dia	dia	dia/			
1	9	RD	----ASN-	11	τοῦτο	τουτο	τουτο	οὗτος	tou~to	touto	touto	ou~(toj			
1	9	V-	3AAI-S--	633473	ἔχρισέν	ἐχρισεν	εχρισεν	χρίω	e/)xrise/n	e)xrisen	exrisen	xri/w			
1	9	RP	----AS--	13	σε	σε	σε	σύ	se	se	se	su/			
1	9	RA	----NSM-	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(			
1	9	N-	----NSM-	9346	θεός	θεος	θεος	θεός	qeo/j	qeoj	qeoj	qeo/j			,
1	9	RA	----NSM-	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(			
1	9	N-	----NSM-	9346	θεός	θεος	θεος	θεός	qeo/j	qeoj	qeoj	qeo/j			
1	9	RP	----GS--	13	σου	σου	σου	σύ	sou	sou	sou	su/			,
