1	3	RP	----AP--	13	ἡμᾶς	ἡμας	ημας	ἐγώ	h(ma~j	h(maj	hmaj	e)gw/			
1	3	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	3	N-	----ASF-	13570	ἐλπίδα	ἐλπιδα	ελπιδα	ἐλπίς	e)lpi/da	e)lpida	elpida	e)lpi/j			
1	3	V-	-PAPASF-	566721	ζῶσαν	ζωσαν	ζωσαν	ζάω	zw~san	zwsan	zwsan	za/w			
1	3	P-	--------	7	δι	δι	δι	διά	di	di	di	dia/			
1	3	N-	----GSF-	13634	ἀναστάσεως	ἀναστασεως	αναστασεως	ἀνάστασις	a)nasta/sewj	a)nastasewj	anastasewj	a)na/stasij			
1	3	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς	I)hsou~	i)hsou	ihsou	I)hsou~j			
1	3	N-	----GSM-	9538	Χριστοῦ	χριστου	χριστου	Χριστός	Xristou~	xristou	xristou	Xristo/j			
1	3	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k			
1	3	A-	----GPM-	10051	νεκρῶν	νεκρων	νεκρων	νεκρός	nekrw~n	nekrwn	nekrwn	nekro/j			,
1	4	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	4	N-	----ASF-	13570	κληρονομίαν	κληρονομιαν	κληρονομιαν	κληρονομία	klhronomi/an	klhronomian	klhronomian	klhronomi/a			
1	4	A-	----ASF-	13571	ἄφθαρτον	ἀφθαρτον	αφθαρτον	ἄφθαρτος	a/)fqarton	a)fqarton	afqarton	a/)fqartoj			
1	4	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	4	A-	----ASF-	13571	ἀμίαντον	ἀμιαντον	αμιαντον	ἀμίαντος	a)mi/anton	a)mianton	amianton	a)mi/antoj			
1	4	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	4	A-	----ASF-	13571	ἀμάραντον	ἀμαραντον	αμαραντον	ἀμάραντος	a)ma/ranton	a)maranton	amaranton	a)ma/rantoj			,
1	4	V-	-XPPASF-	6966721	τετηρημένην	τετηρημενην	τετηρημενην	τηρέω	tethrhme/nhn	tethrhmenhn	tethrhmenhn	thre/w			
1	4	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	4	N-	----DPM-	10114	οὐρανοῖς	οὐρανοις	ουρανοις	οὐρανός	ou)ranoi~j	ou)ranoij	ouranoij	ou)rano/j			
1	4	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	4	RP	----AP--	13	ὑμᾶς	ὑμας	υμας	σύ	u(ma~j	u(maj	umaj	su/			
1	5	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
1	5	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	5	N-	----DSF-	13698	δυνάμει	δυναμει	δυναμει	δύναμις	duna/mei	dunamei	dunamei	du/namij			
1	5	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός	qeou~	qeou	qeou	qeo/j			
1	5	V-	-PPPAPM-	5129665	φρουρουμένους	φρουρουμενους	φρουρουμενους	φρουρέω	frouroume/nouj	frouroumenouj	frouroumenouj	froure/w			
1	5	P-	--------	7	διὰ	δια	δια	διά	dia\	dia	dia	dia/			
1	5	N-	----GSF-	13634	πίστεως	πιστεως	πιστεως	πίστις	pi/stewj	pistewj	pistewj	pi/stij			
1	5	P-	--------	7	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j			
1	5	N-	----ASF-	13570	σωτηρίαν	σωτηριαν	σωτηριαν	σωτηρία	swthri/an	swthrian	swthrian	swthri/a			
1	5	A-	----ASF-	13571	ἑτοίμην	ἑτοιμην	ετοιμην	ἕτοιμος	e(toi/mhn	e(toimhn	etoimhn	e/(toimoj			
1	5	V-	-APN----	2411393	ἀποκαλυφθῆναι	ἀποκαλυφθηναι	αποκαλυφθηναι	ἀποκαλύπτω	a)pokalufqh~nai	a)pokalufqhnai	apokalufqhnai	a)pokalu/ptw			
1	5	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	5	N-	----DSM-	9602	καιρῷ	καιρω	καιρω	καιρός	kairw~|	kairw	kairw	kairo/j			
1	5	A-	----DSM-	9603	ἐσχάτῳ	ἐσχατω	εσχατω	ἔσχατος	e)sxa/tw|	e)sxatw	esxatw	e/)sxatoj			.
1	6	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
1	6	RR	----DSM-	14	ᾧ	ὡ	ω	ὅς	w~(|	w(	w	o/(j			
1	6	V-	2PMI-P--	898177	ἀγαλλιᾶσθε	ἀγαλλιασθε	αγαλλιασθε	ἀγαλλιάω	a)gallia~sqe	a)galliasqe	agalliasqe	a)gallia/w			,
1	6	A-	----ASN-	17667	ὀλίγον	ὀλιγον	ολιγον	ὀλίγος	o)li/gon	o)ligon	oligon	o)li/goj			
1	6	D-	--------	8	ἄρτι	ἀρτι	αρτι	ἄρτι	a/)rti	a)rti	arti	a/)rti			
1	6	C-	--------	4	εἰ	εἰ	ει	εἰ	ei)	ei)	ei	ei)			
1	6	V-	-PAPNSN-	566721	δέον	δεον	δεον	δέω	de/on	deon	deon	de/w			
1	6	V-	-APPNPM-	5065665	λυπηθέντες	λυπηθεντες	λυπηθεντες	λυπέω	luphqe/ntej	luphqentej	luphqentej	lupe/w			
1	6	P-	--------	7	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n			
